Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Day,Month,Year,Arrival_Time_hr,Arrival_Time_min,Dep_Time_hr,Dep_Time_min,Duration_hr,Duration_min
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20,01:10,2h 50m,0,0,3897,24,3,2019,1,10,22,20,2,50
Air India,2019-01-05,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,2,0,7662,5,1,2019,13,15,5,50,7,25
Jet Airways,2019-09-06,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25,19h,2,0,13882,6,9,2019,4,25,9,25,19,0
IndiGo,2019-12-05,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1,0,6218,5,12,2019,23,30,18,5,5,25
IndiGo,2019-01-03,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1,0,13302,3,1,2019,21,35,16,50,4,45
SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,0,0,3873,24,6,2019,11,25,9,0,2,25
Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25,15h 30m,1,1,11087,3,12,2019,10,25,18,55,15,30
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05,21h 5m,1,0,22270,3,1,2019,5,5,8,0,21,5
Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25,25h 30m,1,1,11087,3,12,2019,10,25,8,55,25,30
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1,0,8625,27,5,2019,19,15,11,25,7,50
Air India,2019-01-06,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1,0,8907,6,1,2019,23,0,9,45,13,15
IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,0,0,4174,18,4,2019,22,55,20,20,2,35
Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,0,0,4667,24,6,2019,13,55,11,40,2,15
Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20,12h 10m,1,1,9663,5,9,2019,9,20,21,10,12,10
IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,0,0,4804,24,4,2019,19,50,17,15,2,35
Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15,26h 35m,2,0,14011,3,3,2019,19,15,16,40,26,35
SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1,0,5830,15,4,2019,13,15,8,45,4,30
Jet Airways,2019-12-06,Delhi,Cochin,DEL → BOM → COK,14:00,12:35,22h 35m,1,1,10262,6,12,2019,12,35,14,0,22,35
Air India,2019-12-06,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15,23h,2,0,13381,6,12,2019,19,15,20,15,23,0
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,16:00,12:35,20h 35m,1,1,12898,27,5,2019,12,35,16,0,20,35
GoAir,2019-06-03,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1,0,19495,3,6,2019,19,20,14,10,5,10
Air India,2019-03-21,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20,15h 20m,1,0,6955,21,3,2019,13,20,22,0,15,20
IndiGo,2019-03-04,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,0,0,3943,4,3,2019,6,50,4,0,2,50
IndiGo,2019-01-05,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,0,0,4823,5,1,2019,21,50,18,55,2,55
Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15,13h 20m,1,1,7757,5,6,2019,8,15,18,55,13,20
Jet Airways,2019-09-06,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35,15h 10m,2,0,13292,6,9,2019,12,35,21,25,15,10
IndiGo,2019-01-06,Delhi,Cochin,DEL → LKO → COK,21:50,03:35,5h 45m,1,0,8238,6,1,2019,3,35,21,50,5,45
GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1,0,7682,15,5,2019,12,55,7,0,5,55
Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,0,0,4668,18,6,2019,12,35,9,45,2,50
Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,0,0,3687,15,6,2019,9,20,7,5,2,15
Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,0,0,3687,18,6,2019,9,20,7,5,2,15
